
10.1.2015 - 5:5 -]alw[-#fff000MoshPit killed PUTIN_is_the_BEST for: block
10.1.2015 - 14:42 SandySweet killed LaN|#6699FFZikkerSon for: block
10.1.2015 - 14:45 SandySweet killed LaN|#6699FFZikkerSon for: idiot
10.1.2015 - 20:19 [SiK]PauerfC_Cl killed #ff0000KillerMachine for: blocker
10.1.2015 - 20:20 [SiK]PauerfC_Cl killed #ff0000KillerMachine for: blocker
10.1.2015 - 22:59 [SGA]DOOZY#B7CEECJude killed Ras#ff0000Drk#00dd00DZ for: block
10.1.2015 - 23:2 [SGA]DOOZY#B7CEECJude killed [155]1KodumTek7 for: blocking
11.1.2015 - 3:6 -]alw[-#fff000MoshPit killed Naulim for: block
11.1.2015 - 11:50 [SiK]PauerfC_Cl killed xXRoNyXx for: idiot
13.1.2015 - 14:34 #7ade00AleksCore killed jolly for: fuck off with ur map
13.1.2015 - 14:34 #7ade00AleksCore killed ______________________ for: same
13.1.2015 - 14:40 #7ade00AleksCore killed ______________________ for: and what now
13.1.2015 - 14:40 #7ade00AleksCore killed jolly for: same
13.1.2015 - 17:0 SandySweet killed DennisTheBest1 for: idiot
13.1.2015 - 17:53 SandySweet killed #000000No-#ff0000name for: blocker
13.1.2015 - 18:2 SandySweet killed #000000No-#ff0000name for: idiot
13.1.2015 - 18:11 SandySweet killed #000000No-#ff0000name for: blocker
13.1.2015 - 18:11 SandySweet killed #000000No-#ff0000name for: blocker
13.1.2015 - 22:48 SandySweet killed KoM|#FFCC00Chickenbutt for: idiot
13.1.2015 - 22:49 SandySweet killed x#fff700Bu#00ff2aran for: blocker
13.1.2015 - 22:49 SandySweet killed #280777[Donacco] for: idiot
13.1.2015 - 22:49 SandySweet killed F*ckYou for: stupid
13.1.2015 - 22:49 SandySweet killed x#fff700Bu#00ff2aran for: dumbass
14.1.2015 - 22:27 SandySweet killed Dru#ff0000nK#00dd00DZ for: cunt
14.1.2015 - 22:27 SandySweet killed Dru#ff0000nK#00dd00DZ for: take this
14.1.2015 - 22:28 SandySweet killed ErraticPine40 for: noob
15.1.2015 - 9:2 -]alw[-#fff000MoshPit killed ErraticPine40 for: bck
15.1.2015 - 18:43 [SGA]DOOZY#B7CEECJude killed (SGA)discovery for: fake
15.1.2015 - 18:51 [SGA]DOOZY#B7CEECJude killed #33ff33[SKC]ViRuS for: hack
15.1.2015 - 20:26 [SGA]DOOZY#B7CEECJude killed [UA]Alfer for: ff
15.1.2015 - 20:37 [SGA]DOOZY#B7CEECJude killed CREAMPIE_MADNESS for: lag
16.1.2015 - 14:24 SandySweet killed senseye for: idiot
16.1.2015 - 14:42 SandySweet killed 00Schneider for: idiot
16.1.2015 - 14:43 SandySweet killed 00Schneider for: stupid
16.1.2015 - 19:16 SandySweet killed CaringBaobab96 for: blocker
16.1.2015 - 19:16 SandySweet killed [NG]TheRipper for: blocker
16.1.2015 - 19:17 SandySweet killed [HYA]Master95 for: idiot
